Name of Account, Dollar Value in Millions, Date (yymmdd)
"Commodity Credit Corporation programs",41,130211
"Defense Vendor Payments",1243,130211
"Education Department programs",937,130211
"Energy Department programs",100,130211
"Federal Employees Insurance Payments",722,130211
"Fed. Highway Administration programs",86,130211
"Federal Salaries",67,130211
"Food and Nutrition Service",961,130211
"GSA programs",46,130211
"Health and Human Services Grants",303,130211
"Housing and Urban Development programs",98,130211
"Interest on Treasury Securities",1,130211
"IRS Tax Refunds Business",15,130211
"IRS Tax Refunds Individual",4555,130211
"Justice Department programs",56,130211
"Labor Dept. prgms",47,130211
"Medicaid",284,130211
"Medicare",1193,130211
"NASA programs",11,130211
"Postal Service Money Orders and Other",187,130211
"Public Debt Cash Redemp.",1178,130211
"Social Security Benefits",52,130211
"Supple. Nutrition Assist. Program",22,130211
"Transportation Security Admin.",19,130211
"Unemployment Insurance Benefits",278,130211
"Veterans Affairs programs",175,130211
"Emergency Prep &",115,130211
"Federal Crop Ins. Corp.",90,130211
"Unclassified",593,130211
"Total, Other Withdrawals",985,130211
"Transfers to Depositaries",0,130211
"Commodity Credit Corporation programs",48,130208
"Defense Vendor Payments",1252,130208
"Education Department programs",1234,130208
"Energy Department programs",118,130208
"Federal Employees Insurance Payments",193,130208
"Fed. Highway Administration programs",171,130208
"Federal Salaries",65,130208
"Food and Nutrition Service",403,130208
"GSA programs",37,130208
"Health and Human Services Grants",379,130208
"Housing and Urban Development programs",192,130208
"Interest on Treasury Securities",1,130208
"IRS Tax Refunds Business",55,130208
"IRS Tax Refunds Individual",8077,130208
"Justice Department programs",59,130208
"Labor Dept. prgms",127,130208
"Medicaid",954,130208
"Medicare",1253,130208
"NASA programs",43,130208
"Postal Service Money Orders and Other",156,130208
"Public Debt Cash Redemp.",880,130208
"Social Security Benefits",55,130208
"Supple. Nutrition Assist. Program",6,130208
"Transportation Security Admin.",1,130208
"Unemployment Insurance Benefits",116,130208
"Veterans Affairs programs",158,130208
"Emergency Prep &",163,130208
"Federal Crop Ins. Corp.",103,130208
